States	Abbreviated	Income Tax %	Sales Tax %	Avg. Local Sales Tax	Max Local Sales Tax %	Combined Sales Tax %	Effective Property Tax (2023)
Alabama	AL	5.00%	4.00%	5.43%	8.00%	9.43%	0.38%
Alaska	AK	0.00%	0.00%	1.82%	7.85%	1.82%	1.14%
Arizona	AZ	2.50%	5.60%	2.81%	5.30%	8.41%	0.52%
Arkansas	AR	3.90%	6.50%	2.96%	6.13%	9.46%	0.57%
California	CA	9.30%	7.25%	1.55%	4.75%	8.80%	0.71%
Colorado	CO	4.40%	2.90%	4.96%	8.30%	7.86%	0.49%
Connecticut	CT	6.50%	6.35%	0.00%	0.00%	6.35%	1.92%
Delaware	DE	6.60%	0.00%	0.00%	0.00%	0.00%	0.53%
Florida	FL	0.00%	6.00%	0.95%	2.00%	6.95%	0.79%
Georgia	GA	5.39%	4.00%	3.42%	5.00%	7.42%	0.81%
Hawaii	HI	9.00%	4.00%	0.50%	0.50%	4.50%	0.27%
Idaho	ID	5.70%	6.00%	0.03%	3.00%	6.03%	0.53%
Illinois	IL	4.95%	6.25%	2.64%	4.75%	8.89%	2.07%
Indiana	IN	3.00%	7.00%	0.00%	0.00%	7.00%	0.74%
Iowa	IA	3.80%	6.00%	0.94%	2.00%	6.94%	1.43%
Kansas	KS	5.58%	6.50%	2.27%	4.25%	8.77%	1.30%
Kentucky	KY	4.00%	6.00%	0.00%	0.00%	6.00%	0.77%
Louisiana	LA	3.00%	5.00%	5.12%	7.00%	10.12%	0.55%
Maine	ME	7.15%	5.50%	0.00%	0.00%	5.50%	1.10%
Maryland	MD	5.50%	6.00%	0.00%	0.00%	6.00%	1.00%
Massachusetts	MA	5.00%	6.25%	0.00%	0.00%	6.25%	1.11%
Michigan	MI	4.25%	6.00%	0.00%	0.00%	6.00%	1.28%
Minnesota	MN	9.85%	6.88%	1.25%	3.00%	8.13%	1.04%
Mississippi	MS	4.40%	7.00%	0.06%	1.00%	7.06%	0.74%
Missouri	MO	4.70%	4.23%	4.19%	5.88%	8.41%	0.88%
Montana	MT	5.90%	0.00%	0.00%	0.00%	0.00%	0.75%
Nebraska	NE	5.20%	5.50%	1.47%	2.00%	6.97%	1.50%
Nevada	NV	0.00%	6.85%	1.39%	1.53%	8.24%	0.49%
New Hampshire	NH	0.00%	0.00%	0.00%	0.00%	0.00%	1.77%
New Jersey	NJ	6.37%	6.63%	-0.02%	3.31%	6.60%	2.23%
New Mexico	NM	5.90%	4.88%	2.75%	4.56%	7.63%	0.72%
New York	NY	6.85%	4.00%	4.53%	4.88%	8.53%	1.60%
North Carolina	NC	4.25%	4.75%	2.25%	2.75%	7.00%	0.70%
North Dakota	ND	2.50%	5.00%	2.05%	3.50%	7.05%	0.99%
Ohio	OH	3.50%	5.75%	1.48%	2.25%	7.23%	1.36%
Oklahoma	OK	4.75%	4.50%	4.51%	7.00%	9.01%	0.82%
Oregon	OR	9.90%	0.00%	0.00%	0.00%	0.00%	0.83%
Pennsylvania	PA	3.07%	6.00%	0.34%	2.00%	6.34%	1.35%
Rhode Island	RI	5.99%	7.00%	0.00%	0.00%	7.00%	1.32%
South Carolina	SC	6.20%	6.00%	1.50%	3.00%	7.50%	0.51%
South Dakota	SD	0.00%	4.20%	1.91%	4.50%	6.11%	1.09%
Tennessee	TN	0.00%	7.00%	2.56%	2.75%	9.56%	0.55%
Texas	TX	0.00%	6.25%	1.95%	2.00%	8.20%	1.58%
Utah	UT	4.55%	6.10%	1.22%	4.20%	7.32%	0.53%
Vermont	VT	8.75%	6.00%	0.37%	1.00%	6.37%	1.71%
Virginia	VA	5.75%	5.30%	0.47%	2.70%	5.77%	0.74%
Washington	WA	0.00%	6.50%	2.93%	4.10%	9.43%	0.84%
West Virginia	WV	4.82%	6.00%	0.57%	1.00%	6.57%	0.54%
Wisconsin	WI	5.30%	5.00%	0.70%	2.90%	5.70%	1.51%
Wyoming	WY	0.00%	4.00%	1.44%	2.00%	5.44%	0.58%
							
Washington DC	DC	8.50%	6.00%	0.00%	0.00%	6.00%	5.80%


